Driver,Team,Circuit,PrevLapTime,AvgLast3Laps,AvgLast5Laps,TyreLife,Compound,Stint,LapNumber,Position,TrackStatus,InPit,AirTemp,TrackTemp,Humidity,Rainfall,NextLapTime
ANT,Mercedes,Australian Grand Prix,91.887,91.416,91.6742,23.0,INTERMEDIATE,4.0,23.0,11.0,1,0,15.707865168539326,18.942134831460674,78.42134831460675,1,90.822
ANT,Mercedes,Australian Grand Prix,91.324,91.41766666666666,91.50280000000001,24.0,INTERMEDIATE,4.0,24.0,11.0,1,0,15.707865168539326,18.942134831460674,78.42134831460675,1,90.706
ANT,Mercedes,Australian Grand Prix,90.822,91.34433333333334,91.2788,25.0,INTERMEDIATE,4.0,25.0,11.0,1,0,15.707865168539326,18.942134831460674,78.42134831460675,1,91.299
ANT,Mercedes,Australian Grand Prix,90.706,90.95066666666666,91.15620000000001,26.0,INTERMEDIATE,4.0,26.0,11.0,1,0,15.707865168539326,18.942134831460674,78.42134831460675,1,90.463
ANT,Mercedes,Australian Grand Prix,91.299,90.94233333333334,91.2076,27.0,INTERMEDIATE,4.0,27.0,11.0,1,0,15.707865168539326,18.942134831460674,78.42134831460675,1,90.716
ANT,Mercedes,Australian Grand Prix,90.463,90.82266666666665,90.92280000000001,28.0,INTERMEDIATE,4.0,28.0,11.0,1,0,15.707865168539326,18.942134831460674,78.42134831460675,1,89.919
ANT,Mercedes,Australian Grand Prix,90.716,90.82600000000001,90.8012,29.0,INTERMEDIATE,4.0,29.0,11.0,1,0,15.707865168539326,18.942134831460674,78.42134831460675,1,89.794
ANT,Mercedes,Australian Grand Prix,89.919,90.36599999999999,90.6206,30.0,INTERMEDIATE,4.0,30.0,11.0,1,0,15.707865168539326,18.942134831460674,78.42134831460675,1,89.245
ANT,Mercedes,Australian Grand Prix,89.794,90.14299999999999,90.4382,31.0,INTERMEDIATE,4.0,31.0,11.0,1,0,15.707865168539326,18.942134831460674,78.42134831460675,1,89.032
ANT,Mercedes,Australian Grand Prix,89.245,89.65266666666666,90.0274,32.0,INTERMEDIATE,4.0,32.0,11.0,1,0,15.707865168539326,18.942134831460674,78.42134831460675,1,87.505
ANT,Mercedes,Australian Grand Prix,89.032,89.35700000000001,89.74119999999999,9.0,HARD,5.0,42.0,10.0,1,0,15.707865168539326,18.942134831460674,78.42134831460675,1,84.901
ANT,Mercedes,Australian Grand Prix,87.505,88.59400000000001,89.099,10.0,HARD,5.0,43.0,10.0,1,0,15.707865168539326,18.942134831460674,78.42134831460675,1,90.78
ANT,Mercedes,Australian Grand Prix,84.901,87.146,88.09540000000001,2.0,INTERMEDIATE,6.0,46.0,8.0,1,0,15.707865168539326,18.942134831460674,78.42134831460675,1,95.008
ANT,Mercedes,Australian Grand Prix,90.78,87.72866666666665,88.2926,8.0,INTERMEDIATE,6.0,52.0,5.0,1,0,15.707865168539326,18.942134831460674,78.42134831460675,1,91.398
ANT,Mercedes,Australian Grand Prix,95.008,90.22966666666666,89.4452,9.0,INTERMEDIATE,6.0,53.0,5.0,1,0,15.707865168539326,18.942134831460674,78.42134831460675,1,90.562
ANT,Mercedes,Australian Grand Prix,91.398,92.39533333333333,89.91839999999999,10.0,INTERMEDIATE,6.0,54.0,5.0,1,0,15.707865168539326,18.942134831460674,78.42134831460675,1,90.602
ANT,Mercedes,Australian Grand Prix,90.562,92.32266666666668,90.5298,11.0,INTERMEDIATE,6.0,55.0,5.0,1,0,15.707865168539326,18.942134831460674,78.42134831460675,1,88.149
ANT,Mercedes,Australian Grand Prix,90.602,90.854,91.66999999999999,12.0,INTERMEDIATE,6.0,56.0,4.0,1,0,15.707865168539326,18.942134831460674,78.42134831460675,1,88.65
BEA,Haas F1 Team,Australian Grand Prix,95.002,95.60966666666667,97.4894,9.0,INTERMEDIATE,4.0,13.0,17.0,1,0,15.707865168539326,18.942134831460674,78.42134831460675,1,93.732
BEA,Haas F1 Team,Australian Grand Prix,94.25,94.88933333333334,95.9286,10.0,INTERMEDIATE,4.0,14.0,17.0,1,0,15.707865168539326,18.942134831460674,78.42134831460675,1,93.885
